,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
95,717812,2023-06-10T20:05:00Z,2023-06-10,R,Scheduled,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,0,0,,,31,PNC Park,[],,,,,,,2023-06-10 - New York Mets @ Pittsburgh Pirates (Scheduled)
96,717803,2023-06-11T17:35:00Z,2023-06-11,R,Scheduled,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,0,0,,,31,PNC Park,[],,,,,,,2023-06-11 - New York Mets @ Pittsburgh Pirates (Scheduled)
97,717779,2023-06-13T23:10:00Z,2023-06-13,R,Scheduled,New York Yankees,New York Mets,147,121,N,1,,,,,0,0,,,3289,Citi Field,['TBS'],,,,,,,2023-06-13 - New York Yankees @ New York Mets (Scheduled)
98,717766,2023-06-14T23:10:00Z,2023-06-14,R,Scheduled,New York Yankees,New York Mets,147,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-14 - New York Yankees @ New York Mets (Scheduled)
99,717743,2023-06-16T23:10:00Z,2023-06-16,R,Scheduled,St. Louis Cardinals,New York Mets,138,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-16 - St. Louis Cardinals @ New York Mets (Scheduled)
100,717718,2023-06-17T20:10:00Z,2023-06-17,R,Scheduled,St. Louis Cardinals,New York Mets,138,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-17 - St. Louis Cardinals @ New York Mets (Scheduled)
101,717713,2023-06-18T17:40:00Z,2023-06-18,R,Scheduled,St. Louis Cardinals,New York Mets,138,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-18 - St. Louis Cardinals @ New York Mets (Scheduled)
102,717694,2023-06-20T00:10:00Z,2023-06-19,R,Scheduled,New York Mets,Houston Astros,121,117,N,1,,,,,0,0,,,2392,Minute Maid Park,[],,,,,,,2023-06-19 - New York Mets @ Houston Astros (Scheduled)
103,717682,2023-06-21T00:10:00Z,2023-06-20,R,Scheduled,New York Mets,Houston Astros,121,117,N,1,,,,,0,0,,,2392,Minute Maid Park,[],,,,,,,2023-06-20 - New York Mets @ Houston Astros (Scheduled)
104,717670,2023-06-21T18:10:00Z,2023-06-21,R,Scheduled,New York Mets,Houston Astros,121,117,N,1,,,,,0,0,,,2392,Minute Maid Park,[],,,,,,,2023-06-21 - New York Mets @ Houston Astros (Scheduled)
105,717656,2023-06-23T23:05:00Z,2023-06-23,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,0,0,,,2681,Citizens Bank Park,[],,,,,,,2023-06-23 - New York Mets @ Philadelphia Phillies (Scheduled)
106,717635,2023-06-24T20:05:00Z,2023-06-24,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,0,0,,,2681,Citizens Bank Park,[],,,,,,,2023-06-24 - New York Mets @ Philadelphia Phillies (Scheduled)
