,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
80,663412,2022-06-12T02:07:00Z,2022-06-11,R,Final,New York Mets,Los Angeles Angels,121,108,N,1,Michael Lorenzen,Carlos Carrasco,,,6,11,9,Top,1,Angel Stadium,Los Angeles Angels,New York Mets,Michael Lorenzen,Carlos Carrasco,,2022-06-11 - New York Mets (6) @ Los Angeles Angels (11) (Final)
81,663397,2022-06-12T23:08:00Z,2022-06-12,R,Final,New York Mets,Los Angeles Angels,121,108,N,1,Patrick Sandoval,Taijuan Walker,,,4,1,9,Bottom,1,Angel Stadium,New York Mets,Los Angeles Angels,Taijuan Walker,Patrick Sandoval,Edwin Diaz,2022-06-12 - New York Mets (4) @ Los Angeles Angels (1) (Final)
82,662441,2022-06-14T23:10:00Z,2022-06-14,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,Chris Bassitt,Adrian Houser,,,0,4,9,Top,3289,Citi Field,New York Mets,Milwaukee Brewers,Chris Bassitt,Adrian Houser,,2022-06-14 - Milwaukee Brewers (0) @ New York Mets (4) (Final)
83,662480,2022-06-15T23:10:00Z,2022-06-15,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,David Peterson,Corbin Burnes,,,10,2,9,Bottom,3289,Citi Field,Milwaukee Brewers,New York Mets,Corbin Burnes,David Peterson,,2022-06-15 - Milwaukee Brewers (10) @ New York Mets (2) (Final)
84,662535,2022-06-16T23:10:00Z,2022-06-16,R,Final,Milwaukee Brewers,New York Mets,158,121,N,1,Tylor Megill,Aaron Ashby,,,4,5,9,Top,3289,Citi Field,New York Mets,Milwaukee Brewers,Drew Smith,Brent Suter,Edwin Diaz,2022-06-16 - Milwaukee Brewers (4) @ New York Mets (5) (Final)
85,662534,2022-06-17T23:10:00Z,2022-06-17,R,Final,Miami Marlins,New York Mets,146,121,N,1,Carlos Carrasco,Pablo Lopez,,,4,10,9,Top,3289,Citi Field,New York Mets,Miami Marlins,Carlos Carrasco,Pablo Lopez,,2022-06-17 - Miami Marlins (4) @ New York Mets (10) (Final)
86,662533,2022-06-18T20:10:00Z,2022-06-18,R,Final,Miami Marlins,New York Mets,146,121,N,1,Taijuan Walker,Braxton Garrett,,,2,3,9,Top,3289,Citi Field,New York Mets,Miami Marlins,Taijuan Walker,Braxton Garrett,Edwin Diaz,2022-06-18 - Miami Marlins (2) @ New York Mets (3) (Final)
87,662532,2022-06-19T17:40:00Z,2022-06-19,R,Final,Miami Marlins,New York Mets,146,121,N,1,Chris Bassitt,Sandy Alcantara,,,6,2,9,Bottom,3289,Citi Field,Miami Marlins,New York Mets,Sandy Alcantara,Chris Bassitt,,2022-06-19 - Miami Marlins (6) @ New York Mets (2) (Final)
88,662522,2022-06-20T17:10:00Z,2022-06-20,R,Final,Miami Marlins,New York Mets,146,121,N,1,David Peterson,Trevor Rogers,,,0,6,9,Top,3289,Citi Field,New York Mets,Miami Marlins,David Peterson,Trevor Rogers,,2022-06-20 - Miami Marlins (0) @ New York Mets (6) (Final)
89,662750,2022-06-22T00:10:00Z,2022-06-21,R,Final,New York Mets,Houston Astros,121,117,N,1,Jose Urquidy,Trevor Williams,,,2,8,9,Top,2392,Minute Maid Park,Houston Astros,New York Mets,Jose Urquidy,Trevor Williams,,2022-06-21 - New York Mets (2) @ Houston Astros (8) (Final)
90,662749,2022-06-22T18:10:00Z,2022-06-22,R,Final,New York Mets,Houston Astros,121,117,N,1,Luis Garcia,Carlos Carrasco,,,3,5,9,Top,2392,Minute Maid Park,Houston Astros,New York Mets,Luis Garcia,Carlos Carrasco,Ryan Pressly,2022-06-22 - New York Mets (3) @ Houston Astros (5) (Final)
