,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
152,662410,2022-09-01T20:10:00Z,2022-09-01,R,Scheduled,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-01 - Los Angeles Dodgers @ New York Mets (Scheduled)
153,662409,2022-09-02T23:10:00Z,2022-09-02,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-02 - Washington Nationals @ New York Mets (Scheduled)
154,662425,2022-09-03T23:15:00Z,2022-09-03,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-03 - Washington Nationals @ New York Mets (Scheduled)
155,662424,2022-09-04T17:40:00Z,2022-09-04,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-04 - Washington Nationals @ New York Mets (Scheduled)
156,662283,2022-09-05T16:35:00Z,2022-09-05,R,Scheduled,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,0,0,,,31,PNC Park,,,,,,2022-09-05 - New York Mets @ Pittsburgh Pirates (Scheduled)
157,662282,2022-09-06T22:35:00Z,2022-09-06,R,Scheduled,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,0,0,,,31,PNC Park,,,,,,2022-09-06 - New York Mets @ Pittsburgh Pirates (Scheduled)
158,662285,2022-09-07T22:35:00Z,2022-09-07,R,Scheduled,New York Mets,Pittsburgh Pirates,121,134,N,1,,,,,0,0,,,31,PNC Park,,,,,,2022-09-07 - New York Mets @ Pittsburgh Pirates (Scheduled)
159,661337,2022-09-09T22:40:00Z,2022-09-09,R,Scheduled,New York Mets,Miami Marlins,121,146,N,1,,,,,0,0,,,4169,loanDepot park,,,,,,2022-09-09 - New York Mets @ Miami Marlins (Scheduled)
160,661323,2022-09-10T22:10:00Z,2022-09-10,R,Scheduled,New York Mets,Miami Marlins,121,146,N,1,,,,,0,0,,,4169,loanDepot park,,,,,,2022-09-10 - New York Mets @ Miami Marlins (Scheduled)
161,661322,2022-09-11T17:40:00Z,2022-09-11,R,Scheduled,New York Mets,Miami Marlins,121,146,N,1,,,,,0,0,,,4169,loanDepot park,,,,,,2022-09-11 - New York Mets @ Miami Marlins (Scheduled)
162,662423,2022-09-12T23:10:00Z,2022-09-12,R,Scheduled,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-12 - Chicago Cubs @ New York Mets (Scheduled)
163,662430,2022-09-13T23:10:00Z,2022-09-13,R,Scheduled,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-13 - Chicago Cubs @ New York Mets (Scheduled)
164,662422,2022-09-14T23:10:00Z,2022-09-14,R,Scheduled,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-14 - Chicago Cubs @ New York Mets (Scheduled)
165,662398,2022-09-15T23:10:00Z,2022-09-15,R,Scheduled,Pittsburgh Pirates,New York Mets,134,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-15 - Pittsburgh Pirates @ New York Mets (Scheduled)
166,662404,2022-09-16T23:10:00Z,2022-09-16,R,Scheduled,Pittsburgh Pirates,New York Mets,134,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-16 - Pittsburgh Pirates @ New York Mets (Scheduled)
167,662403,2022-09-17T23:10:00Z,2022-09-17,R,Scheduled,Pittsburgh Pirates,New York Mets,134,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-17 - Pittsburgh Pirates @ New York Mets (Scheduled)
168,662402,2022-09-18T17:40:00Z,2022-09-18,R,Scheduled,Pittsburgh Pirates,New York Mets,134,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-18 - Pittsburgh Pirates @ New York Mets (Scheduled)
169,661161,2022-09-19T23:40:00Z,2022-09-19,R,Scheduled,New York Mets,Milwaukee Brewers,121,158,N,1,,,,,0,0,,,32,American Family Field,,,,,,2022-09-19 - New York Mets @ Milwaukee Brewers (Scheduled)
170,661159,2022-09-20T23:40:00Z,2022-09-20,R,Scheduled,New York Mets,Milwaukee Brewers,121,158,N,1,,,,,0,0,,,32,American Family Field,,,,,,2022-09-20 - New York Mets @ Milwaukee Brewers (Scheduled)
171,661158,2022-09-21T18:10:00Z,2022-09-21,R,Scheduled,New York Mets,Milwaukee Brewers,121,158,N,1,,,,,0,0,,,32,American Family Field,,,,,,2022-09-21 - New York Mets @ Milwaukee Brewers (Scheduled)
172,662305,2022-09-24T01:40:00Z,2022-09-23,R,Scheduled,New York Mets,Oakland Athletics,121,133,N,1,,,,,0,0,,,10,Oakland Coliseum,,,,,,2022-09-23 - New York Mets @ Oakland Athletics (Scheduled)
173,662311,2022-09-24T20:07:00Z,2022-09-24,R,Scheduled,New York Mets,Oakland Athletics,121,133,N,1,,,,,0,0,,,10,Oakland Coliseum,,,,,,2022-09-24 - New York Mets @ Oakland Athletics (Scheduled)
174,662310,2022-09-25T20:07:00Z,2022-09-25,R,Scheduled,New York Mets,Oakland Athletics,121,133,N,1,,,,,0,0,,,10,Oakland Coliseum,,,,,,2022-09-25 - New York Mets @ Oakland Athletics (Scheduled)
175,662401,2022-09-27T23:10:00Z,2022-09-27,R,Scheduled,Miami Marlins,New York Mets,146,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-27 - Miami Marlins @ New York Mets (Scheduled)
176,662400,2022-09-28T23:10:00Z,2022-09-28,R,Scheduled,Miami Marlins,New York Mets,146,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-09-28 - Miami Marlins @ New York Mets (Scheduled)
177,661467,2022-09-30T23:20:00Z,2022-09-30,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-09-30 - New York Mets @ Atlanta Braves (Scheduled)
178,661466,2022-10-01T23:20:00Z,2022-10-01,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-10-01 - New York Mets @ Atlanta Braves (Scheduled)
179,661465,2022-10-02T17:35:00Z,2022-10-02,R,Scheduled,New York Mets,Atlanta Braves,121,144,N,1,,,,,0,0,,,4705,Truist Park,,,,,,2022-10-02 - New York Mets @ Atlanta Braves (Scheduled)
180,661095,2022-10-03T23:10:00Z,2022-10-03,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-10-03 - Washington Nationals @ New York Mets (Scheduled)
181,661094,2022-10-04T23:10:00Z,2022-10-04,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-10-04 - Washington Nationals @ New York Mets (Scheduled)
182,662488,2022-10-05T20:10:00Z,2022-10-05,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,,,,,,2022-10-05 - Washington Nationals @ New York Mets (Scheduled)
